project,version,date,status,scope,task,deliverables,validation,bottleneck_or_risk,next_step
enterprise-im-ai,V0,2026-07-06,done,baseline,项目跑通与代码地图,"CODE_MAP; CORE_LINKS; MODULE_CARDS; TEST_EVIDENCE; INTERVIEW_QA","make test; make build; docker compose config","已有代码功能多但叙事分散，容易被看成普通 IM demo","把核心链路证据化，形成可演示脚本"
enterprise-im-ai,V1,2026-07-06,done,this-version,IM 核心链路证据化,"tools/core_im_demo; scripts/demo_core_im.sh; make core-im-demo","light stack demo: login/ws/single/ack/offline/mysql/metrics PASS; group Transfer SKIP","light 栈不含 Kafka/Transfer，不能证明群聊异步扩散","补全量栈 group Transfer 演示入口"
enterprise-im-ai,V2,2026-07-06,done,this-version,AI 群聊总结闭环,"internal/ai; /api/v1/ai/group-summary; ai_summary_records; scripts/ai_demo.sh; make ai-demo","make test; make build; docker compose config; START_STACK=1 make ai-demo","mock provider 可以演示业务闭环，但还不是真实模型调用","接真实 provider 或知识库问答前，先把群聊 Transfer 证据补齐"
enterprise-im-ai,V3,2026-07-06,done,this-version,群聊 Kafka/Transfer 验收入口与性能演化材料,"scripts/demo_group_transfer.sh; make group-transfer-demo; VERSION_TASK_TRACKER; PERFORMANCE_AND_EVOLUTION","make test; make build; docker compose config; script syntax check; light core-im-demo PASS","本机全量 compose 可能受镜像/端口影响；群聊 fanout 的性能瓶颈在 Kafka lag、Transfer worker 数、Redis 投递写放大","补压测脚本和指标采样，把 Gateway 长连接与群聊扇出分别压测"
enterprise-im-ai,V4,2026-07-06,done,this-version,OpenAI-compatible Provider 与降级策略,"OpenAICompatibleProvider; FallbackProvider; AI_BASE_URL/AI_API_KEY/AI_FALLBACK_TO_MOCK; provider tests; AUTUMN_RECRUIT_STUDY_GUIDE","go test ./...; make build; docker compose config; provider httptest","真实模型调用会带来延迟、失败率、限流、成本和敏感信息风险；不能影响 IM 实时链路","补 AI 调用审计表/耗时指标；再做知识库问答或消息语义搜索"
enterprise-im-ai,V5,2026-07-07,done,this-version,AI 调用审计与 provider 延迟指标,"ai_call_logs; 20260707_ai_call_logs.sql; linkgo_ai_provider_latency_seconds; ai_demo migration; audit tests","go test ./...; make build; docker compose config; summary_service audit tests","审计日志目前是 best-effort；真实 provider fallback 的 primary 失败明细还没有逐次展开记录","补 provider attempt 明细、敏感信息脱敏和 /api/v1/ai/ask 知识库问答"
enterprise-im-ai,V6,2026-07-07,done,this-version,Provider attempt 明细与敏感信息脱敏,"AttemptRecorder; ai_provider_attempt_logs; 20260707_ai_provider_attempt_logs.sql; RedactSensitive; fallback attempt evidence","go test ./internal/ai ./cmd/gateway; redaction test; attempt audit tests","attempt 明细已留痕但还没有 token 成本、prompt 摘要和完整脱敏策略","补 /api/v1/ai/ask 知识库问答；补 provider cost/token 指标"
enterprise-im-ai,V7,2026-07-07,done,this-version,AI FAQ/RAG 问答闭环,"/api/v1/ai/ask; AskService; KnowledgeBase; ai_qa_records; docs/AI_FAQ.md; scripts/ai_ask_demo.sh","go test ./...; make build; docker compose config; bash -n scripts/ai_demo.sh scripts/ai_ask_demo.sh; START_STACK=1 make ai-ask-demo","当前检索仍是基于项目文档的关键词召回，不是向量索引；sources 为文档段落级，不是符号级代码索引","V8 做项目一最终收口：统一 demo、简历 bullet、性能与生产化边界"
enterprise-im-ai,V8,2026-07-07,done,this-version,项目一最终收口与标准演示流程,"linkgo_ai_ask_knowledge_hits; scripts/final_im_ai_demo.sh; make im-ai-final-demo; FINAL_PROJECT_LEARNING_PACKAGE; FINAL_RESUME_AND_INTERVIEW_PACK; FINAL_DEMO_RUNBOOK","go test ./...; make build; docker compose config; docker compose -f docker-compose.light.yml config; START_STACK=1 make im-ai-final-demo","功能已足够秋招讲述，继续扩功能会削弱主线","项目一停止大功能扩张；后续只做 bugfix、压测补证据、面试表达打磨"
enterprise-im-ai,V9,2026-07-08,done,this-version,LinkGo Chat 主线重命名与 AI 好友私聊闭环,"AI_BOT_REDESIGN_PLAN; AI_NATIVE_JOB_ALIGNMENT; ai_bot_seed; Logic BotResponder; AI friend list display","go test ./cmd/logic/internal/svc ./internal/logic; go test ./...","AI 好友已经能以普通消息回复，但真实模型延迟、失败重试、前端演示脚本和群聊 /summary 回写还要继续收口","补群聊 @AI 总结回写消息链路；整理红包并发测试证据"
enterprise-im-ai,V10,2026-07-09,done,this-version,LinkGo Chat 前端演示页与 smoke 验收,"public/index.html 快捷入口; scripts/frontend_smoke.sh; core_im_demo AI reply check; make frontend-smoke","go test ./tools/core_im_demo ./cmd/logic/internal/svc ./internal/logic; go test ./...; START_STACK=1 COMPOSE_FILE_PATH=docker-compose.light.yml FRONTEND_PORT=8088 make frontend-smoke","当前自动化验证用 Go WebSocket 客户端模拟前端协议；本机缺少 Chromium/Playwright，未做浏览器点击级自动化","补群聊 @AI /summary 回写普通消息；后续可加 Nginx 静态托管与反向代理部署方案"
enterprise-im-ai,V11,2026-07-09,done,this-version,DeepSeek Provider 环境变量接入,"AI_PROVIDER=deepseek; DEEPSEEK_API_KEY fallback; .env.ai.example; docker-compose AI env passthrough","go test ./internal/ai ./cmd/logic ./cmd/gateway; docker compose -f docker-compose.light.yml config; docker compose config","真实 API key 不保存到仓库；如果切换 DeepSeek 需要重启 Logic/Gateway 容器让环境变量生效","使用 DeepSeek 跑一次 AI 好友人工验收；继续做群聊 @AI /summary 回写普通消息"
